Inspection Type,Level / Area,Room / Asset,Question Text,Answer Type,Photo Mandatory?,Photo Trigger Rule,Notes
White Level Inspection (Day),White Level,White Level,Is the lobby area clean and presentable?,Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT: photoRequired:true. Same question/flag in Night White Level.
White Level Inspection (Day),White Level,White Level,Are all lift port readers operational?,Pass / Issue / N/A,No,N/A (no photo field),
White Level Inspection (Day),White Level,White Level,Are all DDA doors functioning correctly?,Pass / Issue / N/A,No,N/A (no photo field),
White Level Inspection (Day),White Level,White Level,Are all lobby doors secured?,Pass / Issue / N/A,No,N/A (no photo field),
White Level Inspection (Day),White Level,White Level,Are all red emergency stop buttons pulled out?,Pass / Issue / N/A,No,Optional (not enforced),
White Level Inspection (Day),White Level,White Level,Is lighting sufficient throughout?,Pass / Issue / N/A,No,N/A (no photo field),
White Level Inspection (Day),White Level,White Level,"Any damage, hazards, or vandalism observed?",Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion. DUPLICATE wording (also External & Precinct).
White Level Inspection (Day),White Level,White Level,Any suspicious items observed in the area?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
White Level Inspection (Day),White Level,White Level,Anything unusual to report?,Pass / Issue / N/A,No,N/A (no photo field),negativeQuestion. DUPLICATE wording (many inspections).
External Inspection (Day),Perimeter,"North / East / South / West Perimeter (4 rooms, identical sets)","Any damage, hazards, or vandalism observed?",Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion. DUPLICATE across all 4 perimeters.
External Inspection (Day),Perimeter,"North / East / South / West Perimeter (4 rooms, identical sets)",Any suspicious persons or items observed?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion. DUPLICATE across all 4 perimeters.
External Inspection (Day),Perimeter,"North / East / South / West Perimeter (4 rooms, identical sets)",If exclusion zones are present — photograph and confirm they are set up correctly.,Pass / Issue / N/A,No,Optional (not enforced),NO MANDATORY EVIDENCE anywhere in External Inspection.
B1 Inspection,B1,Node Room 1,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),DUPLICATE wording (many rooms).
B1 Inspection,B1,Node Room 1,"Any visible damage, faults, or warning lights present?",Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Node Room 1,"Any water ingress, leaks, or moisture present?",Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Node Room 1,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion. DUPLICATE wording (most-repeated question).
B1 Inspection,B1,Node Room 2,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Node Room 2,"Any visible damage, faults, or warning lights present?",Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Node Room 2,"Any water ingress, leaks, or moisture present?",Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Node Room 2,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
B1 Inspection,B1,FCR,Is the FCR door secured?,Pass / Issue / N/A,No,N/A (no photo field),DUPLICATE wording (Lobby & External; C2 FCR).
B1 Inspection,B1,FCR,Is the fire panel showing normal status — no faults or alarms?,Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true.
B1 Inspection,B1,FCR,Any visible damage or tampering present?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,FCR,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
B1 Inspection,B1,Fire Relay Pump Room,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Fire Relay Pump Room,Is the fire relay pump showing no faults or alarms?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Fire Relay Pump Room,Any water leaks or moisture present?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Fire Relay Pump Room,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
B1 Inspection,B1,Heat Exchange Room,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Heat Exchange Room,Is the heat exchange equipment operating normally?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Heat Exchange Room,Any water leaks or moisture present?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Heat Exchange Room,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
B1 Inspection,B1,T3 Retail Grease Arrester Room,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,T3 Retail Grease Arrester Room,Any visible leaks present?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,T3 Retail Grease Arrester Room,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
B1 Inspection,B1,Retail Main Switch Room,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Retail Main Switch Room,Are all switchboards and panels showing no faults or alarms?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Retail Main Switch Room,Any visible damage or tampering present?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Retail Main Switch Room,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
B1 Inspection,B1,Water Meter Room,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),
B1 Inspection,B1,Water Meter Room,Any visible leaks present?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
B1 Inspection,B1,Water Meter Room,"Any unusual sounds, smells, or hazards?",Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
Plant Room Inspection,"Levels 15, 27, 39 (identical room sets)",Generator Room,Is the room secured?,Pass / Issue / N/A,No,N/A (no photo field),Shared _PLANT_ROOM_QUESTIONS.gen. L15=L27=L39 (full DUPLICATE).
Plant Room Inspection,"Levels 15, 27, 39 (identical room sets)",Generator Room,Is the generator showing any faults or alarms?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
Plant Room Inspection,"Levels 15, 27, 39 (identical room sets)",Generator Room,Is the generator warm?,Pass / Issue / N/A,No,N/A (no photo field),
Plant Room Inspection,"Levels 15, 27, 39 (identical room sets)",Generator Room,Are the diesel tanks leaking?,Pass / Issue / N/A,No,Optional (not enforced),negativeQuestion.
Plant Room Inspection,"Levels 15, 27, 39 (identical room sets)",Generator Room,Any unusual smells present?,Pass / Issue / N/A,Yes,Always (enforced on submit),HIGHLIGHT photoRequired:true. negativeQuestion.
